id,corpus_id,incipit,cantus_id,mode,finalis,differentia,siglum,position,folio,sequence,marginalia,cao_concordances,feast_id,genre_id,office_id,source_id,melody_id,drupal_path,full_text,full_text_manuscript,volpiano,notes,dataset_name,dataset_idx
,,Orietur sicut sol salvator,004195,8,,,CH-Fco 2,B,024r,,,,feast_1765,genre_a,office_l,,,,Orietur sicut sol salvator mundi et descendet in uterum virginis sicut imber super gramen alleluia,,1---g--gd--fg--ghg---f--ghg---h---f--h--k---gh--g---f---ghg--h--g---f---g--fe--d7---f--fe--def---c--d---fg--gf---h--k---hg--gf---fh--h--g--g---4---g--h--k---3---k--k--j--k--h--g7---3,,,
,,Orietur sicut sol salvator,004195,8,,,D-KA Aug. LX,,016r,,,,feast_1765,genre_a,office_n,,,,Orietur sicut sol salvator mundi et descendet in uterum virginis sicut imber super gramen alleluia,,1---g--gd--fg--ghg---f--ghg---h---f--h--hk---gh--g---f---g--h--g---f---g--fe--d---f--f--df---c--d---fg--gf---h--k7---hg--f---gh--h--g--g---4---k--k--j--kj--h--g---3,,,
,,Orietur sicut sol salvator,004195,8,,,D-KNd 1161,B,016v,,,,feast_1765,genre_a,office_l,,,,Orietur sicut sol salvator mundi et descendet in uterum virginis sicut imber super gramen alleluia,,1---g--gd--fg--gh-hg---f--gh-hg---h---f--h--kk---gh--g---f---g--h--g---f---g--fe--d---f7--f--df---c--d---fg--gf---h--hk---hg--f---gh--h--g--f---4---k--k--j--k--h--g7---3,,,
,,Orietur sicut sol salvator,004195,8,,,F-Pn lat. 12044,,007r,,,,feast_1765,genre_a,office_p,,,,Orietur sicut sol salvator mundi et descendet in uterum virginis sicut imber super gramen alleluia,,1---g--gfd--fg--ghgg---f--ghg---h---f--h--kj---ghg--g---f---g--h--g---f---g--fed--d---f--fed--df7---c--d---fg--gf---h--hk---hg--f---gh--h--g--g---4---k--k--j--k--h--g---3,,,
,,Orietur sicut sol salvator,004195,8,,,F-Pn lat. 15181,,138r,,,,feast_0444,genre_a,office_v2,,,,Orietur sicut sol salvator mundi et descendet in uterum virginis sicut imber super granum alleluia,,1---g--gfd-fg--gh-hg---f--gh---hjh---f--h7--kj---ghg--g---f---g--h--g---f---g7--fe--d---f--f--df---c--d---fg--gf77---h--hk---hg--f---gh--h--g--g---4---k--k--j--k--h--g7---3---g--h---k--k--k7---3,,,
,,Orietur sicut sol salvator,004195,8,,,F-Pn lat. 15181,M,467r,,,,feast_0067,genre_a,office_v,,,,Orietur sicut sol salvator mundi et descendet in uterum virginis sicut imber super gramen in aeternum,,1---g--gfdfg--ghg---f--ghg---hjh---f7--h--kj---gh--g---f---g--h--g7---f---g--fe--d---f--f--df---c--d7---fg--gf---h--k---hg--f---gh---h--g77--g---4---k--k--j--k--h--g---3---g--h--gk--k7---3,,,
,,Orietur sicut sol salvator,004195,8,,,NL-Uu 406,2,020v,,,,feast_1202,genre_a,office_v,,,,Orietur sicut sol salvator mundi et descendet in uterum virginis sicut imber super gramen alleluia,,1---g--gd--fg--ghhg---f--ghg---hh---f--h--hkj---ghg--g---f---g--hg--g---f---g--fe--d---f--f--dddf---c--d---fg--gf---h--hkj---hg--f---gh--h--g--g7---4---g--h--k---k--k--k---k--k---lk--h---3,,,
,,Orietur sicut sol salvator,004195,8,,,US-Cai 1911.142b,M,078r,,,,feast_0067,genre_a,office_v,,,,Orietur sicut sol salvator mundi et descendet in uterum virginis sicut imber super gramen,,1---g--gd--fg--ghg---f--ghg---hjh7---f--h--k---ghg--g---f---g--h--g---fe7---g--fe--d---fe--f--df---c--d---fg--gf7---h--kj---g--g---4---g--h--gk--k---3---k--k--j--k--h--g7---3,,,
,,Orietur sicut sol salvator,004195,8,,,US-Cai 1911.142b,M,089r,,,,feast_0070,genre_a,office_v,,,,Orietur sicut sol salvator mundi et descendet in uterum virginis sicut imber super gramen alleluia alleluia alleluia,,1---g--gd--fg--ghg---f--ghg---hjh---f--h--k7---ghg--g---f---g--hg--g---f---g--fe--d7---f--f--df---c--d---fg--gf---h--kj---g77--g---gf--fe--fgf-fe--dc---c--d--ed--f---gh--h--g--g7---4---g--h--gk--k--k---3---k--k--j--k--h--g---3,,,
,,Orietur sicut sol*,004195,8,,,F-Pn lat. 12044,2,065r,,,,feast_0067,genre_a,office_l,,,,Orietur sicut sol*,,1---g--gfd--fg--ghg---f--ghg---hijh---3,,,
,,Orietur*,004195,8,,,NL-Uu 406,2.3,061r,,,,feast_0067,genre_a,office_m,,,,Orietur*,,1---f--fc--df--eggf---3,,,
,,Rex pacificus magnificatus est cuius vultum ,004657,,,,CZ-Pn XII A 24,3,029r,,,,feast_1765,genre_a,office_v,,,,Rex pacificus magnificatus est cuius vultum desiderat universa terra,,1---g---fd--fe--fg--g---g--h--g--h--g---f---g--7gh---k--kj---h--k--h--g---fe--d--e--f---g--g---5,,,
,,Scitote quia prope est regnum dei ,004834,,,,CZ-Pn XII A 24,5,029r,,,,feast_1765,genre_a,office_v,,,,Scitote quia prope est regnum dei amen dico vobis quia non tardabit,,1---h--fg--7g---g--g---h--g---f---g--gh---f--f---fh--k---j--g---h--f---7gfe--d---e---f--g--g---5,,,
,,Scitote quia prope est,004834,,,,CH-SG 545,3,047r,,,,feast_1202,genre_a,office_v,,,,Scitote quia prope est regnum dei amen dico vobis quia non tardabit,,1---h--fg--g---g--g----gh--g----f---g--gh---f--f---fh--k---l--j---k--hg---gf--d---e---f--g--g---3,,,
,,Super te Ierusalem rex eterne misericordie ,006882Pzc,,,,CZ-Pu XVII E 1,1,027v,,,,feast_1765,genre_tp,office_v,,,,Super te Ierusalem rex eterne misericordie descendere Christus qui natus est cuius hodie lux magnifice,,1---f--f---h---f--h--g--f---h---f--g--7h---k--k--l--k--k--g---j--h--g--7h---f--g---j---h--g---h---f--7g---j--g--h---f---g--j--g--g-hj-h-g---5,,,
,,Veni redemptor gentium*,008408a,,,,F-Pn lat. 12044,,007v,,,,feast_1765,genre_h,office_v2,,,,Veni redemptor gentium*,,1---g--g---f--e--d---fhg--fg--g---3,,,
,,Veni redemptor gentium,008408a,,,,CDN-Hsmu M2149.L4,02,031v,,,,feast_1202,genre_h,office_v,,,,Veni redemptor gentium ostende partum virginis miretur omne saeculum talis decet partus deum,,1---g--g---f--e--d77---3,,,
,,Veni redemptor gentium,008408a,,,,F-Pn lat. 15181,,157r,,,,feast_0493,genre_h,office_l,,,,Veni redemptor gentium ostende partum virginis miretur omne saeculum talis decet partus deum,,1---g--g---f--e--d---fhg--fg--g---hkj7--h--g---h--jg---h--g--f---g7--g--f---g---h--k--g--hjh---h--h---g--fed777---f--hg---f--g7---3,,,
,,Veni redemptor gentium,008408a,,,,NL-Uu 406,,013v,,,,feast_0600,genre_h,office_v2,,,,Veni redemptor gentium ostende partum virginis miretur omne saeculum talis decet partus deum,,1---d--e---f--gf--f---hg--g--fe---d--e--f---gf--e---ijh--h--g---h--k--l---kj--g---h--g--fe---d--e---f--g---f--ij---h--g---3,,,
